CountryName,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.88488007,50.50178,51.05787,51.48735,51.57956,50.55213,50.7448,50.38312,50.88501,51.34801,50.42344,50.23154,50.31174,49.6001,,,,,,,
Afghanistan,AFG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,13.12944031,12.34737015,11.32888985,12.08798981,11.83006954,11.9968996,12.77423,14.24530029,14.72301006,,,19.83119965,29.81286049,,30.27422905,29.96060944,31.87462044,,31.55283928,,,32.15821075,,25.79763031,20.34748077,25.37500954,,,,,,0,,24.44685,16.27781,23.36562,25.40252,26.06118,28.63063,31.26018,32.00865,34.45594,34.63026,34.43871,34.62152,34.6984,35.64176,35.0761,,
Angola,AGO,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,41.72819901,42.5033493,,,,,,,,,,32.65895844,33.23427963,,,,,,,,,,,,,,,44.17567825,43.38890839,45.34373,44.18037,45.68679,,,,,,43.74586,43.5398,40.7975,39.42747,,,,,39.52354,,,
Albania,ALB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,46.62673187,,46.50518036,46.70542145,46.08197021,45.96570969,46.29270935,47.11529922,47.01205063,46.37741852,46.25218964,46.5373497,46.53604889,46.44818115,46.11870956,46.33388138,48.84886169,50.01586151,49.41524124,48.73308182,48.63768005,48.52622986,,48.43027115,48.47729,48.65295,,,47.93991,47.88772,48.0021,48.13348,48.02695,48.60584,47.79232,47.34738,47.16365,46.91698,46.59472,46.86349,47.07269,47.08215,47.09416,
Andorra,AND,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,43.78453064,48.54772186,42.83668137,54.38201904,47.57281876,62.29320908,,,,,,,50.5166893,,,,,,,,,,,,,,,,,,,50.25543,50.21916,49.90769,50.28097,49.93495,49.43703,49.208,48.85028,48.28776,47.92017,48.0038,48.00661,47.99722,47.69056,49.12994,48.64203,48.34921,
Arab World,ARB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,34.00445175,33.96414948,34.27246094,34.61360931,35.03469849,35.05841064,35.69229126,36.30751038,36.62958908,37.08884048,37.39585114,37.91165161,38.41664124,38.93880844,39.32112885,39.71963882,40.05073166,40.39796829,40.81132126,41.16659927,41.89839935,42.39865112,43.05438995,43.39622116,43.53979874,44.11127853,44.26897812,44.61307144,45.14535904,45.66162109,45.94303894,46.1084404,46.4484787,46.71533966,46.76578903,47.04916,47.22164917,47.30593109,47.25407028,47.17351913,47.1564,47.23675,47.14769,47.09734,46.95668,47.07118,47.06386,47.10866,47.202,
United Arab Emirates,ARE,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,25.63064003,35.8132019,38.13824844,37.10395813,38.94977188,42.25865936,42.70777893,44.12778854,44.65422058,45.78358841,45.96905899,46.50812912,47.60192108,48.12989044,48.71298981,49.26836014,49.72893143,50.1196785,50.37216949,50.63425827,50.70518112,50.57287979,50.28778839,,49.89654922,50.0514183,,,,,,,,,,,,,,,,,,48.60796,46.65172,,
Argentina,ARG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,52.49140167,52.17523956,51.67979813,51.93330002,52.00675964,52.36296082,52.48048019,52.81518173,52.97689819,52.78319168,52.91178131,53.10279846,52.16870117,51.31639862,52.00775909,52.37456894,52.07529831,51.62746048,51.78421021,,,,,,,,51.95909882,51.62891006,50.76290131,51.088871,50.81943,50.83819,50.79382,50.95283,51.27406,51.52376,51.80645,52.00948,52.17416,51.94837,51.49829,51.6458,51.31096,51.00165,50.7961,50.60901,50.25036,50.17572,,
Armenia,ARM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03811,,,,,,,49.38178,48.91276,48.24373,47.8943,47.84842,,48.10718,48.02877,47.55359,,,47.26682,
American Samoa,ASM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
